,hour,route,boardings,alightings
257,13,Route 12,645.0,585.0
261,13,Route 17 (Route 1 Ride),644.0,532.0
279,13,Route 36,641.0,635.0
251,12,Route 51,635.0,650.0
61,6,Route 25,631.0,584.0
99,7,Route 36,629.0,737.0
270,13,Route 26,625.0,606.0
386,17,Route 17 (Route 1 Ride),624.0,596.0
173,10,Route 17 (Route 1 Ride),624.0,520.0
116,8,Route 22,622.0,558.0
198,11,Route 12,612.0,607.0
421,18,Route 22,610.0,632.0
221,11,Route 51,610.0,601.0
440,19,Route 11,608.0,727.0
232,12,Route 17 (Route 1 Ride),608.0,657.0
259,13,Route 14,606.0,604.0
309,14,Route 36,604.0,724.0
64,6,Route 28,602.0,513.0
424,18,Route 25,602.0,665.0
152,9,Route 28,601.0,504.0
192,10,Route 51,599.0,623.0
139,9,Route 15 Express,595.0,630.0
174,10,Route 18,594.0,981.0
427,18,Route 28,589.0,564.0
364,16,Route 26,584.0,566.0
53,6,Route 17 (Route 1 Ride),584.0,597.0
296,14,Route 22,582.0,541.0
287,14,Route 12,581.0,600.0
150,9,Route 26,578.0,486.0
93,7,Route 28,576.0,555.0
191,10,Route 36,570.0,505.0
443,19,Route 14,569.0,534.0
426,18,Route 27,569.0,615.0
49,6,Route 13,569.0,478.0
121,8,Route 27,567.0,590.0
267,13,Route 23,565.0,650.0
462,19,Route 35,563.0,644.0
434,18,Route 37,563.0,683.0
391,17,Route 22,561.0,558.0
334,15,Route 28,559.0,509.0
233,12,Route 18,557.0,529.0
211,11,Route 26,556.0,702.0
300,14,Route 26,555.0,668.0
161,9,Route 51,549.0,612.0
86,7,Route 21 Express,543.0,661.0
366,16,Route 28,534.0,526.0
21,5,Route 14,525.0,208.0
184,10,Route 28,524.0,536.0
120,8,Route 26,522.0,615.0
71,6,Route 37,520.0,451.0
397,17,Route 28,513.0,567.0
182,10,Route 26,509.0,491.0
50,6,Route 14,502.0,721.0
62,6,Route 26,498.0,556.0
277,13,Route 35,494.0,464.0
420,18,Route 21 Express,488.0,603.0
365,16,Route 27,487.0,486.0
237,12,Route 22,483.0,439.0
425,18,Route 26,477.0,488.0
91,7,Route 26,473.0,448.0
414,18,Route 15 Express,471.0,523.0
272,13,Route 28,470.0,483.0
122,8,Route 28,462.0,557.0
151,9,Route 27,453.0,439.0
315,15,Deadhead,449.0,385.0
213,11,Route 28,443.0,512.0
311,14,Route 51,440.0,449.0
463,19,Route 36,439.0,572.0
41,5,Route 37,436.0,410.0
452,19,Route 23,433.0,590.0
30,5,Route 24,429.0,147.0
271,13,Route 27,428.0,430.0
395,17,Route 26,427.0,582.0
343,15,Route 51,426.0,438.0
212,11,Route 27,423.0,402.0
202,11,Route 17 (Route 1 Ride),422.0,486.0
146,9,Route 22,419.0,399.0
242,12,Route 27,418.0,433.0
333,15,Route 27,416.0,442.0
