,stop,boardings,alightings
184,Ager Rd and Oglethorpe St,457,186
600,Greenbelt Metro Dr at Cherrywood Ln,456,968
5,1301 McCormick Dr,456,283
978,Pennsy Drive at Landover Metro Station,456,471
377,Brinkley Rd at Rose Croft Shopping Center,456,462
924,Olson St at Norcross St,454,533
698,Indian Head Highway at Audrey Ln,454,631
953,Oxon Hill Rd at Rivertown Commons(6135),452,432
380,Brinkley Rd at Summerhill Rd,450,301
285,Baltimore Ave at University Blvd,447,458
1266,Valley Trail Ln at Catesby Ct,446,384
46,3404 Dodge Park Rd,445,318
1069,Ritchie Rd at Roslyn Ave,443,656
1298,Woodyard Rd at Canberra Dr,443,136
1210,Suitland Rd at 4412 Suitland Rd,441,867
509,Coventry Way at Old Alexandria Ferry Rd,440,624
566,Fisher Rd at Clow Ct,440,457
16,23rd Ave at  Beechwood Rd,439,97
722,Kipling Pkwy at Brewton St,439,415
1154,Southern Ave at 13th St SE,439,328
1246,Temple Hill Rd at Spring Ter,435,286
853,Mike Shapiro Dr at Sheila Ln,435,466
495,Columbia Park Rd at Virginia Ave,434,170
267,Baltimore Ave at Hartwick Rd,434,213
1066,Ritchie Rd at Ritchie Dr,432,652
292,Belcrest Rd at Queens Chapel Rd,432,353
18,23rd Ave at Banning Pl,429,196
1026,Ray Rd at Cypress Creek Dr,427,503
530,District Heights Pkwy at Marbury Ct (W),426,359
565,Fisher Rd at Brinkley Station Dr,426,354
224,Apollo Dr at Arena Dr,425,502
428,Central Ave at Brightseat Rd,425,515
471,Chillum Rd at Buchanan St,423,161
32,28th Pkwy at Afton St,420,124
1012,Queensbury Rd at 44th Ave,420,383
945,Oxon Hill Rd at John Hanson Ln,418,482
912,Old Marlboro Pike at Roblee Dr,416,338
885,Old Alexandria Ferry Rd at Highland Meadows Dr,415,338
878,OXON HILL FRINGE PARK AND RIDE LOT AT BUS BAY F,415,26
379,Brinkley Rd at Shopton Pl,415,294
464,Cheverly Ave at Montrose Rd,412,370
815,Mandan Rd at Greenbelt Rd,409,323
811,Madison St at Ray Rd,409,42
327,Brandywine Road @ Groveton Drive,406,60
1063,Ritchie Rd at Napier Dr,404,279
809,MONUMENT AVE @ MGM CASINO,404,1173
826,Marlboro Pike at Melwood Mall,404,432
1164,Southern Ave at Greater SE Hospital,402,179
330,Brandywine Road @ Surrats Road,400,210
1269,Village Dr West at Clairfield Ln,399,43
833,Marlboro Pike at Whitney Pl,399,50
1278,WILSON BRIDGE DRIVE,398,397
504,County Rd at Elmhurst St,398,1069
560,Fairlawn St at 28th Pkwy,397,79
823,Marlboro Pike at Kipling Pkwy,396,415
1039,Rhode Island Ave at Bunker Hill Rd,394,126
1249,Temple Hill Rd at Temple Hills Trailer Pk,394,75
527,District Heights Pkwy at Addison Rd S,394,183
840,Maxwell Dr at Allentown Rd,393,261
1165,Southern Ave at Gunther St,390,78
1241,Temple Hill Rd at Piscataway Rd,390,365
708,Jericho Residences (Southbound),387,351
335,Breezewood Dr at Cherrywood Ln,386,561
847,McCormick Dr at UMUC,385,235
883,Old Alexandria Ferry Rd at Bellefonte Ln,385,350
1056,Ritchie Rd at D'arcy Rd,385,355
1102,Rollins Ave at District Ave,384,272
241,Auburn Ave at 1st St,369,397
664,Hastings Dr at Valley Park Rd,368,273
541,Dunmore Pl at Edgeworth Dr,368,912
961,PALMER ROAD & INDIAN HEAD HIGHWAY,365,297
113,7600 Riverdale Rd,365,180
89,4412 Suitland Rd (Opposite),364,432
1229,Temple Hill Rd at Cardwell Dr,363,145
884,Old Alexandria Ferry Rd at Heflin Dr,362,361
1003,Queens Chapel Rd at Hamilton St,361,862
30,28th Ave at Kenton Pl,361,604
302,Bladensburg Rd at 38th St,359,389
1095,Riverdale Rd at Mahoney Dr,358,250
220,Annapolis Rd at 85th Ave,355,1713
696,Indian Head Highway (MD. RTE. 210) at Southern Ave,354,362
951,Oxon Hill Rd at Oxon Hill Plaza(6201),354,205
271,Baltimore Ave at Knox Rd,354,594
114,7602 Riverdale Rd,352,485
47,3417 Dodge Park Rd,350,399
523,Denise Dr at Epworth Way,350,315
962,PALMER ROAD & OLD PALMER ROAD,350,252
679,Hillside Rd at Northway,349,280
397,Campus Way North at St Joseph's Dr,347,92
863,Nalley Rd at Kaplan Ct,347,120
1172,Southern Ave at UNITED MEDICAL CENTER,347,79
136,9400 Peppercorn Pl,346,483
1240,Temple Hill Rd at Old Temple Hill Rd,346,297
99,54th Ave at Jefferson St,343,453
261,Baltimore Ave at Cherry Hill Road,342,641
23,23rd Ave at Sheridan St,341,351
239,Ashwood Dr at Ritche Rd,340,150
521,Denise Dr at Banister Way,339,170
813,Mandan Rd at 7648 Mandan Rd,338,425
1304,Zachery St at Lottsford Rd,338,54
473,Chillum Rd at Queens Chapel Rd,338,288
567,Fisher Rd at Damian Dr,338,320
13,15th Ave at University Blvd,336,817
654,Hanover Pkwy at Village Park Dr,335,238
201,Allentown Rd at Karen Anne Dr,335,375
211,Allentown Rd at Westchester Ct,334,539
921,Old Silver Hill Rd at Parkland Ct (E),334,807
1062,Ritchie Rd at Mane Ln,332,515
1065,Ritchie Rd at Putnam Ln,331,335
585,Goddard Space Flight Center Main Gate (Northbound),327,402
510,Crescent Rd at 58 Court,327,61
773,Largo Rd at Largo Landing,326,274
908,Old Marlboro Pike at Melwood Rd,326,207
1036,Rhode Island Ave at 42nd Pl,324,371
700,Indian Head Highway at Southern Ave,323,466
263,Baltimore Ave at Erie St,323,284
195,Allentown Rd at 5711 AFCU Allentown Rd,323,296
802,MLK Jr Hwy at Glen Willow Dr,320,259
1284,Walker Mill Rd at Tanow Pl,319,120
1104,Rollins Ave at Rollins Ln,318,269
215,Annapolis Rd at 48th St,317,357
78,425 Brightseat Rd,317,114
877,OLD BRANCH AVENUE & ALLENTOWN WAY,314,85
1202,Stars Entrance Gaylord Hotel at National Harbor Blvd,310,791
529,District Heights Pkwy at Marbury Ct (E),309,116
727,Kipling Pkwy at Marbury Dr,309,244
1145,Silver Hill Rd at Parkway Terrace Dr,308,145
68,40th Pl at Crittenden,308,229
959,PALMER ROAD & DEVON HILLS DRIVE,307,225
75,4192 Whitehall Square Apts,306,2462
185,Ager Rd at 23rd Ave,305,271
1204,Stuart Ln at Topaz Court,304,130
615,Greenbrook Dr at Ora Glen Dr,304,258
707,Jericho Residences,304,244
238,Ashwood Dr at Dunmore Pl,303,947
764,Largo Rd at Buck Ln,302,397
1125,Saint Barnabas Rd at John Hanson Ln,302,132
500,Council Dr at Kipling Pkwy,300,100
655,Harry S Truman Dr at Birdie Ln,300,375
