,stops,route,early,on_time,late
151,SHADYGROVE METRO LOT  & METRO LOT,55,0.0,1.0,1.0
152,SHAKESPEARE BLVD & AMBER RIDGE DR,55,3.0,15.0,1.0
153,SHAKESPEARE BLVD & ETON MANOR DR,55,4.0,33.0,2.0
154,SHAKESPEARE BLVD & FREDERICK RD,55,3.0,5.0,1.0
155,SHAKESPEARE BLVD & MILESTONE PARK &,55,1.0,2.0,3.0
156,SHAKESPEARE BLVD & OBSERVATION DR,55,28.0,107.0,40.0
157,SOMERVILLE DR & REDLAND RD,55,18.0,54.0,3.0
158,TRAVIS AVE & TRAVIS LN,55,96.0,283.0,29.0
159,TRAVIS AVE & TRAVIS VIEW CT,55,44.0,84.0,11.0
160,TRAVIS AVE & WATKINS MILL RD,55,11.0,59.0,18.0
161,TUCKERMAN LN & ROCKVILLE PIKE,46,14.0,11.0,4.0
162,TWINBROOK STATION  & BAY A - WEST,46,5568.0,12169.0,5576.0
163,WATKINS MILL RD & TRAVIS AVE,55,4.0,3.0,4.0
164,WATKINS MILL RD & TRAVIS LN,55,2.0,8.0,0.0
