,stop,boardings,alightings
868,Metro Dr at Gate 7 Security Booth,87,132
647,Hamilton St at 3900,191,132
327,Brandywine Road @ Surrats Road,177,131
105,60th Ave at Seminole St,175,131
538,District Heights Pkwy at Marbury Ct (W),187,130
1038,Queens Chapel Rd at Nicholson St,103,130
194,Allentown Rd at Kingston Dr,97,130
1162,Sheriff Rd at Dutch Village Dr,118,129
206,Allentown Way at Allentown Rd (Aldi's),90,128
742,Kipling Pkwy at Opp. 7805 Ritchie Rd,198,128
792,Largo Rd at West Kettering Dr,8,128
1054,Ray Rd at Balfour Dr,86,127
1070,Rhode Island Ave at Gallatin St,68,127
192,Allentown Rd at Dodge Ln,165,127
846,Marlboro Pike at Tucker's Restaurant,131,127
1172,Sheriff Rd at William Paca School,59,127
1193,Southern Ave at Forest Hills Apts,206,126
210,Annapolis Rd at 53rd St,84,126
1096,Ritchie Rd at Truck Way,286,126
860,McCormick Dr at Opp. UMUC Building,132,126
555,East Capitol Street at Maryland Park Drive,76,125
574,Fieldstone Way,143,125
40,3119 75th Ave (Overland Gardens),72,124
5,1100 Owens Rd,139,124
176,Ager Rd at 23rd Ave,152,123
968,Owens Rd at Wheeler Rd,141,123
357,Brightseat Rd at Social Services Bldg.,244,123
1292,University Blvd at 23rd Ave,685,122
1088,Ritchie Rd at Napier Dr,135,122
492,Columbia Park Rd at Beaver Rd,64,122
1206,Southern Rd at Wheeler Rd,146,121
761,Landover Rd at 58th Ave,116,121
729,John Rogers Blvd at Old Marlboro Pike,48,121
457,Cherrywood Ln at Greenbelt Federal Courthouse,138,121
1021,Peppermill Dr at Pepper St,99,120
112,8100 Sheriff Rd,67,120
370,Brinkley Rd at John Hanson Ln,47,120
906,Old Branch Ave at 6811 Old Branch Ave,23,120
1315,Walker Mill Drive at Shady Glen Drive,152,120
202,Allentown Rd at Waldran Dr,179,120
489,College Park Station - Arrival,25,119
249,Auth Rd at Magruder Ave,40,119
989,Oxon Hill Rd at Oxon Hill Plaza(6201),148,119
615,Greenbelt Metro Station Bus Bay A,8717,118
1194,Southern Ave at Gunther St,291,118
367,Brinkley Rd at Henson Creek Apts,880,118
520,Crescent Rd at Lastner Ln,111,118
56,38th St at Parkwood St,73,117
1217,Springhill Ln at Market Ln,294,117
779,Largo Rd at Eton Dr,61,117
260,Baltimore Ave at Erie St,121,116
1141,SOUTHERN AVENUE & FOREST HILLS APARTMENTS,82,115
589,Gallatin St at 43rd Ave,67,115
991,Oxon Hill Rd at Riverside Plaza Apts,400,115
1223,St Barnabas Rd at Kernal Ln,11,114
224,Ardwick-Ardmore Rd at UPS Building #8325,106,114
477,Chillum Rd at Buchanan St,175,114
189,Allentown Rd at Brinkley Rd (Family Services),14,113
1268,Temple Hill Rd at Henderson Rd,85,113
803,Lottsford Rd at Harry S. Truman Dr,103,113
212,Annapolis Rd at 54th St,60,113
653,Hanover Pkwy at Green Manor Ct,171,112
37,28th Pkwy at Fairlawn St,74,112
1035,Queen Chapel Rd at Queensbury Rd,4,111
635,Greenway Center (AM Southbound),82,111
937,Old Pike Way at 5620 Old Pike Way,50,111
