,stop,boardings
408,Campus Way S at PGCC Entrance,177
1301,Valley Trail Ln at Romford Dr,177
327,Brandywine Road @ Surrats Road,177
182,Ager Rd at Oglethorpe St,177
269,Baltimore Ave at Lakeland Rd,176
105,60th Ave at Seminole St,175
477,Chillum Rd at Buchanan St,175
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,174
878,Nalley Rd at Green Willow Ct,174
975,Oxon Hill Rd at 6192 Oxon Hill Rd,173
383,Brinkley Rd at Shopton Pl,173
262,Baltimore Ave at Hamilton St,172
1281,Temple Hill Rd at Southeast Mobile Estates,172
867,Merrimac St at New Hampshire Ave Service Rd,171
970,Oxon Hill Fringe Lot,171
653,Hanover Pkwy at Green Manor Ct,171
677,Highmount Ln at Brooke Rd,171
1282,Temple Hill Rd at Spring Ter,170
460,Cherrywood Ln at Springhill Drive,170
67,40plgall_nb,170
666,Hanover Pkwy at Village Park Dr,169
346,Brightseat Rd at Glen Valley Dr,168
1068,Rhode Island Ave at County Service Building - NB,167
217,Apollo Dr at Arena Dr,167
1091,Ritchie Rd at Ritchie Dr,167
1318,Walker Mill Rd at Rollins Ave,167
192,Allentown Rd at Dodge Ln,165
102,58th Ave at Berwyn Rd,165
736,Kipling Pkwy at Brewton St,165
597,Goddard Space Flight Center Main Gate (Northbound),164
284,Baltimore Avenue at Fox Street,163
1078,Ridgefield Blvd at Stretford Ct,163
46,3404 Dodge Park Rd,163
1200,Southern Ave at UNITED MEDICAL CENTER,162
175,Ager Rd and Oglethorpe St,161
1082,Ritchie Rd at D'arcy Rd,161
455,Chatsfield Way at Reading Ter,161
276,Baltimore Ave at Riverdale Rd,161
862,McCormick Dr at UMUC,161
1154,Saint Barnabas Rd at John Hanson Ln,160
571,Fairlawn St at Colebrooke Dr,160
618,Greenbelt Rd at Lakecrest Dr,160
1286,Timothy Branch Dr at Safeway Ent,160
92,5150 Annapolis Rd,160
893,OLD BRANCH AVENUE & ALLENTOWN WAY,159
272,Baltimore Ave at Oglethorpe St,159
82,42nd Ave at Madison St,159
547,Donnell Drive at Marlboro Pike,159
1199,Southern Ave at Robert Yedell Towers,158
195,Allentown Rd at Old Branch Ave,157
638,Gwendolyn Britt Center,157
871,Morris Ave at Maxwell Dr,156
121,85th Avenue and Hiltop Apartments,156
824,MLK Jr Hwy at Sheriff Rd,155
944,Opp 3133 Pennsy Dr,154
73,414 Brightseat Rd,154
