,stop,boardings,alightings
662,Hanover Pkwy at Ora Glen Dr,193,376
838,Marlboro Pike at Glacier Ave,192,184
452,Central Ave at Yeoman Pl,191,50
654,Hanover Pkwy at Greenbelt Rd,191,150
647,Hamilton St at 3900,191,132
712,Indian Head Highway at Southern Ave,190,199
470,Cheverly Ave at Montrose Rd,189,234
1272,Temple Hill Rd at Megan Dr,189,167
1203,Southern Ave opposite B St SE,189,84
1192,Southern Ave at Forest Hills Apartment,189,159
583,Fisher Rd at Temple Blvd,188,108
1016,Pennsylvania Ave at Penn Crossing Dr,187,387
538,District Heights Pkwy at Marbury Ct (W),187,130
1226,St Barnabas Rd at Raleigh Rd,187,241
1239,Suitland Metro - Arrival,186,8235
646,Hamilton St at 38th St,186,156
88,4412 Suitland Rd (Opposite),185,190
721,Jericho Residences (Southbound),185,162
1107,Riverdale Rd at 54th Ave,184,90
279,Baltimore Ave at Tecumseh St,184,276
652,Hampton Park Boulevard at Steeplechase,183,265
831,Mandan Rd at Canning Terr,183,151
239,Auburn Ave at Chestnut Ave,182,372
277,Baltimore Ave at Rossborough Ln,182,254
1009,PGCC Perimeter Rd at R.I. Bickford Building,181,17
1060,Rhode Island Ave at 37th St,180,132
1311,Volta Ave at Rhode Island Ave,180,187
202,Allentown Rd at Waldran Dr,179,120
1302,Village Dr West at Bishopmill Dr,179,143
1231,Stars Entrance Gaylord Hotel at National Harbor Blvd,179,485
1066,Rhode Island Ave at Bunker Hill Rd,178,63
327,Brandywine Road @ Surrats Road,177,131
182,Ager Rd at Oglethorpe St,177,146
408,Campus Way S at PGCC Entrance,177,57
1301,Valley Trail Ln at Romford Dr,177,167
1273,Temple Hill Rd at Old Temple Hill Rd,177,96
269,Baltimore Ave at Lakeland Rd,176,266
105,60th Ave at Seminole St,175,131
477,Chillum Rd at Buchanan St,175,114
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,174,182
878,Nalley Rd at Green Willow Ct,174,164
975,Oxon Hill Rd at 6192 Oxon Hill Rd,173,302
383,Brinkley Rd at Shopton Pl,173,272
1281,Temple Hill Rd at Southeast Mobile Estates,172,31
262,Baltimore Ave at Hamilton St,172,61
867,Merrimac St at New Hampshire Ave Service Rd,171,35
970,Oxon Hill Fringe Lot,171,24
653,Hanover Pkwy at Green Manor Ct,171,112
677,Highmount Ln at Brooke Rd,171,102
1282,Temple Hill Rd at Spring Ter,170,187
460,Cherrywood Ln at Springhill Drive,170,59
67,40plgall_nb,170,39
666,Hanover Pkwy at Village Park Dr,169,157
346,Brightseat Rd at Glen Valley Dr,168,99
1068,Rhode Island Ave at County Service Building - NB,167,148
217,Apollo Dr at Arena Dr,167,260
1091,Ritchie Rd at Ritchie Dr,167,214
1318,Walker Mill Rd at Rollins Ave,167,161
192,Allentown Rd at Dodge Ln,165,127
102,58th Ave at Berwyn Rd,165,205
736,Kipling Pkwy at Brewton St,165,166
597,Goddard Space Flight Center Main Gate (Northbound),164,685
46,3404 Dodge Park Rd,163,132
1078,Ridgefield Blvd at Stretford Ct,163,15
284,Baltimore Avenue at Fox Street,163,14
1200,Southern Ave at UNITED MEDICAL CENTER,162,59
