,stops,route,early,on_time,late
67,N WASHINGTON ST & MARTINS LN,46,197.0,248.0,30.0
68,N WASHINGTON ST & MARTINS LN,55,26.0,151.0,23.0
69,N WASHINGTON ST & MIDDLE LN,46,72.0,102.0,21.0
70,N WASHINGTON ST & MIDDLE LN,55,11.0,89.0,6.0
71,OBSERVATION DR & MONTGOMERY COLLEGE,55,169.0,807.0,442.0
72,ODENDHAL AVE & FREDERICK AVE,55,348.0,824.0,162.0
73,ODENDHAL AVE & LOST KNIFE RD,55,1.0,8.0,3.0
74,ODENDHAL AVE & RUSSELL AVE,55,101.0,224.0,36.0
75,ROCKVILLE PIKE & @1001,46,156.0,316.0,40.0
76,ROCKVILLE PIKE & ALTA VISTA RD,46,13.0,9.0,4.0
77,ROCKVILLE PIKE & BELLEVUE DR,46,9.0,24.0,1.0
78,ROCKVILLE PIKE & BETH MED PRK DR,46,72.0,81.0,20.0
79,ROCKVILLE PIKE & BOU AVE,46,308.0,744.0,79.0
80,ROCKVILLE PIKE & BOUIC AVE,46,173.0,342.0,41.0
81,ROCKVILLE PIKE & BROAD BROOK DR,46,6.0,14.0,0.0
82,ROCKVILLE PIKE & CEDAR LN,46,34.0,133.0,3.0
83,ROCKVILLE PIKE & CONGRESSIONAL LN,46,339.0,634.0,125.0
84,ROCKVILLE PIKE & COUNTRY CLUB RD,46,35.0,64.0,10.0
85,ROCKVILLE PIKE & EDMONSTON DR,46,633.0,1160.0,170.0
86,ROCKVILLE PIKE & ELSMERE AVE,46,15.0,23.0,5.0
87,ROCKVILLE PIKE & EXECUTIVE BLVD,46,79.0,132.0,29.0
88,ROCKVILLE PIKE & FIRST ST,46,41.0,132.0,31.0
89,ROCKVILLE PIKE & FLANDERS AVE,46,18.0,30.0,2.0
90,ROCKVILLE PIKE & GROSVENOR LN,46,16.0,19.0,3.0
91,ROCKVILLE PIKE & GROSVENOR STATION,46,7.0,20.0,1.0
92,ROCKVILLE PIKE & HALPINE RD,46,323.0,950.0,122.0
93,ROCKVILLE PIKE & HILLERY WAY,46,6.0,26.0,6.0
94,ROCKVILLE PIKE & HOYA ST,46,52.0,186.0,26.0
95,ROCKVILLE PIKE & HUBBARD DR,46,72.0,226.0,28.0
96,ROCKVILLE PIKE & MARINELLI RD,46,1030.0,1860.0,229.0
97,ROCKVILLE PIKE & MT VERNON PL,46,121.0,261.0,36.0
98,ROCKVILLE PIKE & NEW ST,46,71.0,111.0,45.0
99,ROCKVILLE PIKE & NICHOLSON LN,46,106.0,204.0,19.0
100,ROCKVILLE PIKE & NORTH DR,46,3.0,6.0,1.0
101,ROCKVILLE PIKE & NORTH WOOD DR,46,38.0,111.0,10.0
102,ROCKVILLE PIKE & OLD GEORGETOWN RD,46,114.0,297.0,48.0
103,ROCKVILLE PIKE & PIKE CENTER,46,59.0,165.0,34.0
104,ROCKVILLE PIKE & POOKS HILL RD,46,225.0,458.0,45.0
105,ROCKVILLE PIKE & RANDOLPH RD,46,386.0,672.0,107.0
106,ROCKVILLE PIKE & RICHARD MONTGOMERY,46,67.0,193.0,54.0
107,ROCKVILLE PIKE & ROLLINS AVE,46,137.0,368.0,44.0
108,ROCKVILLE PIKE & SECURITY LN,46,163.0,237.0,31.0
109,ROCKVILLE PIKE & SOUTH WOOD RD,46,14.0,201.0,9.0
110,ROCKVILLE PIKE & STRATHMORE AVE,46,42.0,69.0,4.0
111,ROCKVILLE PIKE & TALBOTT ST,46,129.0,244.0,43.0
112,ROCKVILLE PIKE & TEMPLETON PL,46,172.0,325.0,65.0
113,ROCKVILLE PIKE & THOMPSON AVE,46,75.0,127.0,9.0
114,ROCKVILLE PIKE & TUCKERMAN LN,46,418.0,800.0,83.0
115,ROCKVILLE PIKE & WICKSHIRE WAY,46,5.0,11.0,1.0
116,ROCKVILLE PIKE & WOODMONT STATION,46,48.0,119.0,19.0
117,ROCKVILLE PIKE & WOOTTON PKWY,46,102.0,274.0,31.0
118,ROCKVILLE STATION  & BAY A - WEST,46,3343.0,6339.0,3155.0
119,RUSSELL AVE & CHRISTOPHER AVE,55,3.0,18.0,9.0
120,RUSSELL AVE & WATKINS MILL RD,55,6.0,37.0,6.0
121,S CAMPUS DR & CAMPUS DR,46,2084.0,4076.0,616.0
122,S FREDERICK AVE & CEDAR AVE,55,78.0,167.0,11.0
123,S FREDERICK AVE & CENTRAL AVE,55,4.0,37.0,12.0
124,S FREDERICK AVE & DEER PARK DR,55,74.0,309.0,90.0
125,S FREDERICK AVE & DEER PARK RD,55,80.0,149.0,21.0
126,S FREDERICK AVE & EDUCATION BLVD,55,212.0,489.0,94.0
127,S FREDERICK AVE & FULKS CORNER AVE,55,27.0,215.0,59.0
128,S FREDERICK AVE & N WESTLAND DR,55,57.0,332.0,91.0
129,S FREDERICK AVE & O'NEILL DR,55,35.0,55.0,12.0
130,S FREDERICK AVE & ROSEMONT DR,55,15.0,59.0,4.0
131,S FREDERICK AVE & S WESTLAND DR,55,32.0,200.0,50.0
132,S FREDERICK AVE & SUMMIT AVE,55,174.0,480.0,90.0
133,S FREDERICK AVE & VIRGINIA DR,55,23.0,17.0,5.0
134,S FREDERICK AVE & WESTLAND DR,55,57.0,64.0,27.0
135,S WASHINGTON ST & COURT HOUSE SQ,46,3.0,16.0,2.0
136,S WASHINGTON ST & MONTGOMERY AVE,46,33.0,47.0,4.0
137,SHADY GROVE STATION  & BAY C - EAST,100,2404.0,5386.0,4767.0
