,stop,boardings,alightings
1153,Sargent Rd at Rollingcrest Commons,116,81
1,10100 Campus Way S,26,81
1117,Riverdale Rd at Fernwood Terrance,6,81
340,Brightseat Rd at Bishop Peebles Dr (Largo),20,81
364,Brinkley Rd at Glen Oak Dr,38,81
785,Largo Rd at Mount Lubentia Way,17,81
499,Columbia Park Rd at Oregon Ave,27,81
1172,Silver Hill Rd at Metro Dr,32,81
300,Bladensburg Rd at 42nd Ave,134,81
200,Allentown Rd at Waldran Dr,92,80
1022,Piscataway Rd at Gwynndale Dr,20,80
697,INDIAN HEAD HIGHWAY & AUDREY LANE,70,80
868,Metro Dr at Gate 7 Security Booth,52,80
1029,Pontiac St at Edmonston Rd,60,80
1165,Sheriff Rd at Harvey Dr,93,80
652,Hampton Park Boulevard at Steeplechase,81,80
47,3417 Dodge Park Rd,73,80
1068,Rhode Island Ave at Gallatin St,28,79
972,Oxon Hill Rd OXON HILL FRINGE at Oxon Rd (arrival) (Arrival),3,79
202,Allentown Rd at Westchester Dr,26,79
732,Kanawha St at 15th Ave,253,79
345,Brightseat Rd at Glenarden Library,57,79
437,Central Ave at Cindy Ln,230,79
40,3119 75th Ave (Overland Gardens),30,78
282,Baltimore Ave at Van Buren St,53,78
786,Largo Rd at Opp. Town Farm Rd,9,78
1088,Ritchie Rd at Putnam Ln,80,78
898,Old Alexandria Ferry Rd at Heflin Dr,52,78
27,2400 Chillum Rd,72,78
492,Columbia Park Rd at Beaver Rd,39,77
1322,Whitehall Square Apts at Community Hall,189,77
1271,Temple Hill Rd at Old Temple Hill Rd,108,77
13,14th Ave at Langley Way,134,77
187,Allentown Rd at Brinkley Rd (Family Services),11,76
654,Hanover Pkwy at Greenbelt Rd,100,76
68,40th Pl at Crittenden,56,76
829,Madison St at Timber Creek Dr,136,76
770,Lansdowne Village Apts,102,75
1328,Woody Terrace at Woodyard Road,220,75
583,Fisher Rd at Temple Blvd,113,75
261,Baltimore Ave at Hamilton St,114,75
218,Ardwick-Ardmore Rd at Ardwick Pl,74,75
538,District Heights Pkwy at Marbury Ct (W),151,74
343,Brightseat Rd at Girard St,113,74
842,Marlboro Pike at Marwood Blvd N,98,74
122,9206 Springhill Lane,361,74
1298,Valley Trail Ln at Catesby Ct,93,74
560,East-West Hwy at Toledo Terr,37,73
120,85th Avenue and Hiltop Apartments,94,73
173,Ager Rd and Oglethorpe St,88,73
94,5401 85th Ave,144,73
1137,SOUTHERN AVENUE & CHESAPEAKE STREET SE,214,73
108,7711 Old Alexandria Ferry Rd,8,73
1309,Volta Ave at Rhode Island Ave,58,72
486,College Park Metro Station - Bus Bay T8,62,72
489,College Park Station - Arrival,1,72
1040,Queensbury Rd at 39th Pl,51,72
217,Apollo Dr at Mercantile Ln,37,72
1052,Ray Rd at Balfour Dr,36,72
1193,Southern Ave at H St,22,72
97,57th Ave at Berwyn Rd,76,72
740,Kipling Pkwy at Marbury Dr,132,71
248,Auth Rd at Magruder Ave,49,71
307,Bock Rd at Saint Barnabas Rd,57,71
1037,Queens Chapel Rd at Oliver St,22,70
663,Hanover Pkwy at Prem # 7718,171,69
357,Brinkley Rd at Anderson Dr,36,69
1093,Ritchie Rd at Shepherd St,104,69
510,County Rd at Belwood St,63,69
1294,Upshur St at 28th St,34,69
96,5600 54th Ave,35,68
1112,Riverdale Rd at 64th Ave,81,68
446,Central Ave at Soper Ln,41,68
1026,Pontiac St at 60th Ave,68,68
242,Auth Rd at Braymer Ave,32,68
259,Baltimore Ave at Erie St,84,68
669,Harry S Truman Dr at Mt Lubentia Way,133,67
618,Greenbelt Rd at Lakecrest Dr,68,67
234,Ashwood Dr at Ritchie Rd,20,67
1307,Village Green Dr at Sheriff Rd,37,67
73,414 Brightseat Rd,56,67
1313,Walker Mill Drive at Shady Glen Drive,76,67
1233,Stuart Ln at Topaz Ct,2,67
956,Opposite of Rose Croft Shopping Center,127,67
686,Hill Rd at Willow Hill Dr,30,67
1272,Temple Hill Rd at Opp. Southeast Mobile Estates,58,67
926,Old Marlboro Pike at Melwood Rd,77,67
1083,Ritchie Rd at Farrs Ln,33,66
575,Fisher Rd at Brinkley Station Dr,78,66
1226,St Barnabas Rd at Wheeler Rd,35,66
1063,Rhode Island Ave at 43rd Ave,28,66
