,hour,route,boardings,alightings
309,14,Special,67,64
372,16,Route 53,64,60
35,5,Route 34,64,9
342,15,Strategic,64,64
168,10,Route 15 Express,62,93
219,11,Route 53,61,66
403,17,Route 53,61,62
368,16,Route 35s,58,47
158,9,Route 37,58,55
160,9,Route 53,58,50
336,15,Route 35s,57,55
190,10,Route 53,57,55
245,12,Route 35s,56,62
191,10,Strategic,55,56
279,13,Strategic,54,54
461,19,Route 36,54,151
10,4,Deadhead,53,50
305,14,Route 35s,51,52
274,13,Route 35s,51,49
340,15,Route 53,51,51
100,7,Strategic,50,42
489,22,Strategic,50,54
32,5,Route 30,50,31
5,2,Deadhead,49,73
99,7,Route 53,48,47
436,18,Strategic,45,50
20,5,Route 16,44,9
455,19,Route 28,44,48
130,8,Strategic,42,48
475,20,Route 23,42,62
15,5,Route 11,41,2
161,9,Strategic,41,42
374,16,Strategic,37,50
376,17,Maintenance,37,39
131,9,Deadhead,37,38
338,15,Route 37,37,12
308,14,Route 53,35,43
71,7,Deadhead,34,36
373,16,Special,34,25
129,8,Route 53,33,37
341,15,Special,33,32
344,16,Maintenance,33,31
310,14,Strategic,32,28
187,10,Route 35s,31,60
36,5,Route 35,30,10
216,11,Route 35s,30,34
69,6,Route 53,30,29
488,22,Maintenance,29,31
0,0,Deadhead,29,28
277,13,Route 53,27,25
402,17,Route 51,26,38
7,2,Strategic,26,44
14,5,Maintenance,26,23
162,10,Deadhead,26,24
441,19,Route 13,24,38
468,20,Route 11,23,34
434,18,Route 53,23,33
435,18,Special,23,19
492,23,Strategic,22,29
248,12,Route 53,22,32
440,19,Route 12,21,46
485,21,Maintenance,21,21
101,8,Deadhead,21,24
407,18,Maintenance,20,22
312,15,Maintenance,20,18
222,12,Maintenance,19,25
469,20,Route 14,18,44
470,20,Route 16,18,68
17,5,Route 13,18,11
433,18,Route 51,17,20
467,20,Maintenance,16,20
474,20,Route 21 Express,16,17
450,19,Route 22,15,36
463,19,Route 53,15,19
132,9,Maintenance,15,13
12,4,Strategic,13,12
24,5,Route 21,13,6
251,13,Maintenance,13,13
478,20,Route 32,13,34
102,8,Maintenance,12,9
9,3,Maintenance,11,14
19,5,Route 15 Express,11,7
491,23,Maintenance,10,8
163,10,Maintenance,10,12
31,5,Route 28,10,10
26,5,Route 23,9,15
37,5,Route 36,9,8
29,5,Route 26,9,8
462,19,Route 37,9,76
42,6,Maintenance,9,4
3,1,Maintenance,8,10
482,20,Special,8,7
72,7,Maintenance,8,6
281,14,Maintenance,8,9
278,13,Special,8,13
23,5,Route 20,7,1
8,3,Deadhead,7,7
404,17,Special,7,16
481,20,Route 35,6,30
193,11,Maintenance,6,8
286,14,Route 15 Express,5,5
453,19,Route 25,5,48
473,20,Route 21,5,7
1,0,Strategic,4,5
34,5,Route 33,4,5
6,2,Maintenance,4,2
11,4,Route 24,3,2
480,20,Route 34,3,5
39,5,Special,3,2
471,20,Route 17 (Route 1 Ride),2,7
25,5,Route 22,2,2
28,5,Route 25,2,2
30,5,Route 27,1,1
477,20,Route 26,0,7
464,19,Special,0,5
4,1,Strategic,0,1
2,1,Deadhead,0,1
