,stop,boardings
623,Greenbelt Road (MD. RTE. 193) at NASA Goddard Main Gate(PM),92
803,Lottsford Rd at Harry S. Truman Dr,92
975,Oxon Hill Rd at 6201 Oxon Hill Plaza,92
1239,Suitland Rd at 4410 Suitland Rd,92
473,Chillum Rd at 18th Ave - in,92
51,38th St at Allison St,92
200,Allentown Rd at Waldran Dr,92
414,Campus Way South at PGCC Perimeter Rd,91
270,Baltimore Ave at Metzerott Rd,91
495,Columbia Park Rd at Columbia Pl,91
138,ALLENTOWN ROAD & PADGETTS CORNER,91
502,Columbia Park Rd at Stanford Pl,91
1077,Ritchie Rd at Alberta Dr,91
1326,Wmap Rd at Icesat Rd,91
205,Annapolis Rd at 46th St,90
925,Old Marlboro Pike at Melwood Park Ave,90
821,MLK Jr Hwy at Hill Rd,90
1279,Temple Hill Rd at Southeast Mobile Estates,90
1053,Ray Rd at Cypress Creek Dr,89
777,Largo Rd at Drumsheugh Ln,89
219,Ardwick-Ardmore Rd at Extra Space Storage,89
173,Ager Rd and Oglethorpe St,88
328,Brandywine Road at Surrats Road,88
355,Brightseat Rd at Social Services Bldg.,88
304,Bock Rd at Belfast Drive,88
557,East-West Hwy at Metro Center Dr,88
820,MLK Jr Hwy at Greig St,87
1232,Stuart Ln at Topaz Court,87
1105,Riverdale Rd at 54th Ave,87
269,Baltimore Ave at Longfellow St,86
876,Nalley Rd at Crane Pl,86
1032,Quebec St at 58th Ave,84
1261,Temple Hill Rd at Cardwell Dr,84
259,Baltimore Ave at Erie St,84
1005,PGCC Perimeter Rd at Annex A Building,84
814,MLK Jr Hwy at Cabin Branch Dr,84
101,58th Ave at Berwyn Rd,84
566,Equestrian Center Lot 1 (Arrival),84
1031,Prince George's Plaza - Arrival,83
666,Hanover Pkwy at Village Park Dr,83
919,Old Marlboro Pike at Brooklee Dr,83
968,Owens Rd at Woodland Blvd,83
1129,Rollins Ave at Hanlon Street,83
1280,Temple Hill Rd at Spring Ter,83
1132,SOUTHERN AVENUE & 13TH STREET SE,82
969,Oxon Hill Fringe Lot,82
1229,Stars Entrance Gaylord Hotel at National Harbor Blvd,82
1036,Queens Chapel Rd at Nicholson St,82
837,Marlboro Pike at Forest Run Dr,82
678,Highview Pl at Brooke Rd,81
973,Oxon Hill Rd at 6130 Oxon Hill Rd,81
1112,Riverdale Rd at 64th Ave,81
652,Hampton Park Boulevard at Steeplechase,81
37,28th Pkwy at Fairlawn St,81
963,Owens Rd at Martin Dr,81
1269,Temple Hill Rd at Lambert Dr,80
26,23rd Ave at Woodberry St,80
680,Highview Pl at Keyworth Ct,80
1088,Ritchie Rd at Putnam Ln,80
7,1301 McCormick Dr,80
1035,Queens Chapel Rd at Lancer Dr,79
577,Fisher Rd at Damian Dr,79
373,Brinkley Rd at Middlefield Rd,79
900,Old Alexandria Ferry Rd at Malcolm Rd,79
1192,Southern Ave at Gunther St,79
1288,Truman Manor,79
1161,Sheriff Rd at Eaton Square Apartments,78
453,Chatsfield Way at Palmerton Ter,78
1007,PGCC Perimeter Rd at R.I. Bickford Building,78
549,Dower House Rd at Old Marlboro Pike,78
802,Lottsford Rd at Harry S. Truman,78
575,Fisher Rd at Brinkley Station Dr,78
926,Old Marlboro Pike at Melwood Rd,77
294,Benning Rd at Drum Ave,77
4,10800 Indian Head Highway at Fort Washington Manor,77
1287,Toledo Rd at Belcrest Rd,77
97,57th Ave at Berwyn Rd,76
208,Annapolis Rd at 53rd St,76
1313,Walker Mill Drive at Shady Glen Drive,76
1194,Southern Ave at Opp. Robert Yedell Towers,76
276,Baltimore Ave at Rossborough Ln,76
539,District Heights Pkwy at Marbury Dr (E),76
494,Columbia Park Rd at Clarkson Way,76
668,Harry S Truman Dr at Campus Way S,75
164,Addison Rd at Ernie Banks St,75
672,Harry S. Truman Dr at Lottsford,75
218,Ardwick-Ardmore Rd at Ardwick Pl,74
47,3417 Dodge Park Rd,73
1139,SOUTHERN AVENUE & FOREST HILLS APARTMENTS,73
606,Good Luck Rd at Oakland Ave,73
409,Campus Way S at Treetop Condo,73
881,Nalley Rd at Michele Dr,72
445,Central Ave at Rollins Ave,72
1016,Peppermill Dr at Canyon Dr,72
27,2400 Chillum Rd,72
210,Annapolis Rd at 54th St,72
558,East-West Hwy at Prince George's Mall Ent.,72
1128,Rollins Ave at District Ave,72
832,Mandan Rd at Greenbelt Rd,71
624,Greenbelt Station Parkway at S. Center Drive,71
370,Brinkley Rd at Larwin Dr,71
1183,Southern Ave at 6th St SE,70
69,40th Pl at Gallatin St,70
244,Auth Rd at Clacton Ave,70
1021,Piscataway Rd at Brandywine Rd,70
697,INDIAN HEAD HIGHWAY & AUDREY LANE,70
967,Owens Rd at Wheeler Rd,70
1265,Temple Hill Rd at Hagan Rd,70
1178,Silver Hill Rd at Swann Rd,69
267,Baltimore Ave at Knox Rd,69
1026,Pontiac St at 60th Ave,68
618,Greenbelt Rd at Lakecrest Dr,68
405,Campus Way North at St Joseph's Dr,68
444,Central Ave at Ritchie Rd,68
1055,Ray Rd at Madison St,68
192,Allentown Rd at Kingston Dr,67
423,Capitol Heights Blvd at Emmet St,67
553,East Capitol St at Old Central Ave,67
1317,Walker Mill Rd at Tanow Pl,66
1166,Sheriff Rd at MLK Highway,66
369,Brinkley Rd at Kildare Ct,66
