,stop,alightings
243,Auth Rd at Carswell Ave,91
192,Allentown Rd at Kingston Dr,91
1055,Ray Rd at Madison St,90
463,Cheverly Ave at Columbia Park Rd,90
948,Opp. 1300 McCormick Dr,90
760,Landover Rd at 58th Ave,90
414,Campus Way South at PGCC Perimeter Rd,89
761,Landover Rd at 58th Pl,89
138,ALLENTOWN ROAD & PADGETTS CORNER,89
269,Baltimore Ave at Longfellow St,89
1058,Rhode Island Ave at 37th St,89
996,PALMER ROAD & DEVON HILLS DRIVE,88
749,Lamont Dr at Lamont Pl,88
91,5150 Annapolis Rd,88
501,Columbia Park Rd at Stanford Court,88
752,Lamont Dr at Quentin St,88
1094,Ritchie Rd at Truck Way,88
472,Chillum Rd at 18th Ave,88
645,Hamilton St at 38th Ave,87
1036,Queens Chapel Rd at Nicholson St,87
653,Hanover Pkwy at Green Manor Ct,87
837,Marlboro Pike at Forest Run Dr,87
1032,Quebec St at 58th Ave,86
980,Oxon Hill Rd at Harborview Rd,86
1178,Silver Hill Rd at Swann Rd,85
196,Allentown Rd at Perrie Ln,85
33,28th Pkwy at 27th Ave,84
204,Allentown Way at Allentown Rd (Aldi's),83
1268,Temple Hill Rd at Lakeview Dr,83
1290,University Blvd at 23rd Ave,83
511,County Rd at Elmhurst St,83
359,Brinkley Rd at Brinkley Manor W Ent,83
899,Old Alexandria Ferry Rd at Highland Meadows Dr,82
327,Brandywine Road at Dennison Drive,82
205,Annapolis Rd at 46th St,82
737,Kipling Pkwy at Council Dr,82
785,Largo Rd at Mount Lubentia Way,81
1117,Riverdale Rd at Fernwood Terrance,81
300,Bladensburg Rd at 42nd Ave,81
1,10100 Campus Way S,81
364,Brinkley Rd at Glen Oak Dr,81
1172,Silver Hill Rd at Metro Dr,81
499,Columbia Park Rd at Oregon Ave,81
340,Brightseat Rd at Bishop Peebles Dr (Largo),81
1153,Sargent Rd at Rollingcrest Commons,81
652,Hampton Park Boulevard at Steeplechase,80
1022,Piscataway Rd at Gwynndale Dr,80
1029,Pontiac St at Edmonston Rd,80
200,Allentown Rd at Waldran Dr,80
47,3417 Dodge Park Rd,80
697,INDIAN HEAD HIGHWAY & AUDREY LANE,80
1165,Sheriff Rd at Harvey Dr,80
868,Metro Dr at Gate 7 Security Booth,80
732,Kanawha St at 15th Ave,79
202,Allentown Rd at Westchester Dr,79
972,Oxon Hill Rd OXON HILL FRINGE at Oxon Rd (arrival) (Arrival),79
1068,Rhode Island Ave at Gallatin St,79
345,Brightseat Rd at Glenarden Library,79
437,Central Ave at Cindy Ln,79
898,Old Alexandria Ferry Rd at Heflin Dr,78
282,Baltimore Ave at Van Buren St,78
40,3119 75th Ave (Overland Gardens),78
27,2400 Chillum Rd,78
786,Largo Rd at Opp. Town Farm Rd,78
1088,Ritchie Rd at Putnam Ln,78
492,Columbia Park Rd at Beaver Rd,77
1271,Temple Hill Rd at Old Temple Hill Rd,77
1322,Whitehall Square Apts at Community Hall,77
13,14th Ave at Langley Way,77
68,40th Pl at Crittenden,76
829,Madison St at Timber Creek Dr,76
654,Hanover Pkwy at Greenbelt Rd,76
187,Allentown Rd at Brinkley Rd (Family Services),76
261,Baltimore Ave at Hamilton St,75
218,Ardwick-Ardmore Rd at Ardwick Pl,75
1328,Woody Terrace at Woodyard Road,75
583,Fisher Rd at Temple Blvd,75
770,Lansdowne Village Apts,75
343,Brightseat Rd at Girard St,74
842,Marlboro Pike at Marwood Blvd N,74
122,9206 Springhill Lane,74
538,District Heights Pkwy at Marbury Ct (W),74
1298,Valley Trail Ln at Catesby Ct,74
94,5401 85th Ave,73
560,East-West Hwy at Toledo Terr,73
120,85th Avenue and Hiltop Apartments,73
108,7711 Old Alexandria Ferry Rd,73
173,Ager Rd and Oglethorpe St,73
1137,SOUTHERN AVENUE & CHESAPEAKE STREET SE,73
1193,Southern Ave at H St,72
1052,Ray Rd at Balfour Dr,72
489,College Park Station - Arrival,72
486,College Park Metro Station - Bus Bay T8,72
97,57th Ave at Berwyn Rd,72
217,Apollo Dr at Mercantile Ln,72
1309,Volta Ave at Rhode Island Ave,72
1040,Queensbury Rd at 39th Pl,72
740,Kipling Pkwy at Marbury Dr,71
248,Auth Rd at Magruder Ave,71
307,Bock Rd at Saint Barnabas Rd,71
1037,Queens Chapel Rd at Oliver St,70
663,Hanover Pkwy at Prem # 7718,69
1294,Upshur St at 28th St,69
510,County Rd at Belwood St,69
357,Brinkley Rd at Anderson Dr,69
1093,Ritchie Rd at Shepherd St,69
1026,Pontiac St at 60th Ave,68
242,Auth Rd at Braymer Ave,68
446,Central Ave at Soper Ln,68
259,Baltimore Ave at Erie St,68
96,5600 54th Ave,68
1112,Riverdale Rd at 64th Ave,68
686,Hill Rd at Willow Hill Dr,67
1272,Temple Hill Rd at Opp. Southeast Mobile Estates,67
956,Opposite of Rose Croft Shopping Center,67
926,Old Marlboro Pike at Melwood Rd,67
1233,Stuart Ln at Topaz Ct,67
618,Greenbelt Rd at Lakecrest Dr,67
669,Harry S Truman Dr at Mt Lubentia Way,67
1307,Village Green Dr at Sheriff Rd,67
1313,Walker Mill Drive at Shady Glen Drive,67
234,Ashwood Dr at Ritchie Rd,67
73,414 Brightseat Rd,67
575,Fisher Rd at Brinkley Station Dr,66
351,Brightseat Rd at McCLain Ave,66
425,Capitol Heights Blvd at Heath St,66
51,38th St at Allison St,66
1226,St Barnabas Rd at Wheeler Rd,66
162,Addison Rd at Drylog St,66
1063,Rhode Island Ave at 43rd Ave,66
1083,Ritchie Rd at Farrs Ln,66
1215,Springhill Ln at Market Ln,66
1139,SOUTHERN AVENUE & FOREST HILLS APARTMENTS,66
666,Hanover Pkwy at Village Park Dr,66
284,Belcrest Rd at 6505 Belcrest Rd,65
1129,Rollins Ave at Hanlon Street,65
194,Allentown Rd at Opp. 5711 AFCU Allentown Rd,65
589,Gallatin St at 43rd Ave,65
1223,St Barnabas Rd at Opp. Gateway Square Apts,64
168,Addison Rd at Seat Pleasant Dr,64
190,Allentown Rd at Dodge Ln,64
981,Oxon Hill Rd at John Hanson Ln,64
1291,University Blvd at Guilford Rd,63
1091,Ritchie Rd at Ritchie-Marlboro Rd,63
209,Annapolis Rd at 54th Pl,63
625,Greenbelt Station Parkway at Streambank Lane,63
438,Central Ave at Daimler Dr,63
951,Opp. 5805 Queens Chapel Rd,63
87,4412 Suitland Rd (Opposite),62
838,Marlboro Pike at Glacier Ave,62
875,Nalley Rd at Capital View Dr,62
968,Owens Rd at Woodland Blvd,62
365,Brinkley Rd at Henson Creek Apts,62
298,Bladensburg Rd at 40th Pl,62
1003,PG Plaza Station Bus Bay H,62
999,PALMER ROAD & OLD PALMER ROAD,62
862,McCormick Dr at UMUC,61
638,Gwendolyn Britt Center,61
69,40th Pl at Gallatin St,61
37,28th Pkwy at Fairlawn St,61
427,Capitol Heights Station,61
919,Old Marlboro Pike at Brooklee Dr,61
1266,Temple Hill Rd at Henderson Rd,60
579,Fisher Rd at Heather Hill,60
707,Indian Head Highway (MD. RTE. 210) at Livingston Road,60
522,Crescent Rd at Ridge Rd,60
696,Hubbard Rd at Martin Luther King,60
713,Indian Head Highway at Tecumseh Dr,60
1198,Southern Ave at UNITED MEDICAL CENTER,60
347,Brightseat Rd at Hamlin St,60
299,Bladensburg Rd at 41st Ave,60
362,Brinkley Rd at Farmer Dr,60
809,MERCANTILE LN AT TECHNOLOGY WAY,60
644,Hamilton St at 37th Ave,59
1098,Ritchie Station Court Bus Stop #2,59
1279,Temple Hill Rd at Southeast Mobile Estates,59
821,MLK Jr Hwy at Hill Rd,59
706,Indian Head Highway (MD RTE. 210) at Livingston Rd,58
48,34th St at Bunker Hill Rd,58
994,Oxon Run Dr at Oxon Run Ct,58
537,District Heights Pkwy at Marbury Ct (E),58
616,Greenbelt Rd at Greenbelt Park Entrance,58
207,Annapolis Rd at 53rd Pl,58
1161,Sheriff Rd at Eaton Square Apartments,57
308,Bock Rd at Sourwood Ln,57
61,38th St at Utah Ave,56
813,MLK Jr Hwy at Booker Dr,56
