,stop,alightings
893,Nalley Rd at Green Willow Ct,351
7,1301 McCormick Dr,350
877,McCormick Dr at UMUC,350
1151,Rollins Ave at Rollins Ln,350
363,Brightseat Rd at Social Services Bldg.,349
786,Largo Rd at Buck Ln,348
921,Old Branch Ave at 6811 Old Branch Ave,348
377,Brinkley Rd at Kildare Ct,347
104,58th Ave at Berwyn Rd,347
1056,Queens Chapel Rd at Nicholson St,346
517,County Rd at Belwood St,346
384,Brinkley Rd at Opp. Rosecroft Shopping Center,345
46,3404 Dodge Park Rd,344
127,9400 Peppercorn Pl,344
1199,Silver Hill Rd at Swann Rd,343
205,Allentown Rd at Westchester Ct,342
1124,Riverdale Rd and 7600 Riverdale Road,341
813,Lottsford Rd at Harry S. Truman,339
1244,St Barnabas Rd at Opp. Gateway Square Apts,337
629,Greenbelt Rd at Walker Dr,337
959,Opp 3133 Pennsy Dr,336
690,Highview Pl at Keyworth Ct,336
1007,Oxon Hill Rd at Riverside Plaza Apts,334
1301,Temple Hill Rd at Spring Ter,333
835,MLK Jr Hwy at Sheriff Rd,332
1108,Ritchie Rd at Overton Dr,330
984,Owens Rd at Woodland Blvd,329
976,Owens Rd at Irvington St,328
1117,Ritchie Rd at Walker Mill Rd,325
1318,Valley Trail Ln at Bain Dr 2,324
983,Owens Rd at Wheeler Rd,324
1045,Pontiac St at 60th Ave,321
71,4106 Whitehall Square Apts,320
1201,Southern Ave Station Bay E,319
381,Brinkley Rd at Middlefield Rd,319
750,Kipling Pkwy at Marbury Dr,318
1211,Southern Ave at Forest Hills Apartment,315
916,Old Alexandria Ferry Rd at Malcom Rd,315
648,Gwynn Park High School,314
546,District Heights Pkwy at Marbury Ct (W),314
1126,Riverdale Rd at 54th Ave,313
590,Fisher Rd at Holton Ln,312
1107,Ritchie Rd at Napier Dr,311
103,5846 ALLENTOWN WAY,310
1236,Springhill Ln at Market Ln,309
1330,Volta Ave at Rhode Island Ave,309
351,Brightseat Rd at Girard St,309
170,Addison Rd at James Farmer Way,308
762,Lamont Dr at Quentin St,305
452,Central Ave at Rollins Ave,303
843,Mandan Rd at Greenbelt Rd,303
1091,Rhode Island Ave at Volta Ave,302
374,Brinkley Rd at Huncrest Ent,302
483,Chillum Rd at Buchanan St,302
224,Ardwick-Ardmore Rd at MLK Jr Hwy,302
1191,Sheriff Rd at William Paca School,301
463,Cherrywood Ln at Greenbelt Federal Courthouse,301
1288,Temple Hill Rd at Kirbywood St,300
776,Landover Rd at Firehouse Rd,299
542,District Heights Municipal Bldg,299
1005,Oxon Hill Rd at Oxon Hill Plaza(6201),298
752,Kipling Pkwy at Opp. 7805 Ritchie Rd,298
1115,Ritchie Rd at Truck Way,297
857,Marlboro Pike at Tucker's Restaurant,297
561,East Capitol St at Old Central Ave,297
875,McCormick Dr at Opp. UMUC Building,297
445,Central Ave at Daimler Dr,296
891,Nalley Rd at Crane Pl,295
973,Ora Glen Dr at Mandan Rd,295
917,Old Alexandria Ferry Rd at Mike Shapiro Dr,294
1038,Peppermill Dr at Pepper St,294
485,Chillum Rd at Queens Chapel Rd,294
110,7600 Riverdale Rd,292
111,7711 Old Alexandria Ferry Rd,292
972,Opposite of Rose Croft Shopping Center,292
1246,St Barnabas Rd at Temple Hill Rd,291
200,Allentown Rd at Perrie Ln,290
518,County Rd at Elmhurst St,290
913,Old Alexandria Ferry Rd at Heflin Dr,290
711,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,290
571,Edgeworth Dr at Ritchie Rd,289
1192,Sheriff Rd at Willowood Ct,288
645,Greenway Center (PM Northbound),287
1316,Upshur St at 30th St,286
1143,Riverdale Rd at Tanglewood Dr,284
352,Brightseat Rd at Glen Valley Dr,284
1352,Woodyard Rd at Canberra Dr,283
797,Largo Rd at Opp. Town Farm Rd,283
207,Allentown Way at Allentown Rd,282
1053,Queen Chapel Rd at Queensbury Rd,282
772,Landover Rd at 58th Pl,281
37,28th Pkwy at Fairlawn St,281
1079,Rhode Island Ave at 37th St,280
864,Matapeake Business Dr at Target Store,280
794,Largo Rd at Kirkland Ln,280
449,Central Ave at Norair Ave,279
349,Brightseat Rd at Continental Pl,278
1150,Rollins Ave at Hanlon Street,277
221,Apollo Dr at Mercantile Ln,273
1227,Southway at 11 Court,272
316,Bock Rd at Wolf St,272
38,28th Pl at Russell Ave,271
263,Baltimore Ave at Erie St,270
1132,Riverdale Rd at 63rd Ave,270
739,John Rogers Blvd at Old Marlboro Pike,268
1335,Walker Mill Rd at Brooksquare Dr,268
1112,Ritchie Rd at Ritchie-Marlboro Rd,268
1252,Stuart Ln at Surrats Rd,267
841,Mandan Rd at 7648 Mandan Rd,267
802,Largo Rd at West Kettering Dr,267
914,Old Alexandria Ferry Rd at Highland Meadows Dr,266
528,Crescent Rd at Parkway,265
286,Baltimore Ave at Van Buren St,264
1334,Walker Mill Drive at Shady Glen Drive,264
1292,Temple Hill Rd at Old Temple Hill Rd,264
956,Old Silver Hill Rd at Parkland Ct (E),263
459,Centre Pointe Office Park,263
212,Annapolis Rd at 53rd St,263
376,Brinkley Rd at John Hanson Ln,262
1291,Temple Hill Rd at Megan Dr,262
657,Hamilton St at 3900,262
1306,Toldeo Rd at Belcrest Rd,260
305,Bladensburg Rd at 41st Ave,260
1311,University Blvd at 23rd Ave,259
625,Greenbelt Rd at Greenbelt Park Entrance,259
670,Hanover Pkwy at Megan Ln,259
1247,St Barnabas Rd at Wheeler Rd,258
940,Old Marlboro Pike at Melwood Park Ave,258
1077,Rhode Island Ave at 34th St,258
592,Fisher Rd at Temple Blvd,258
