,stop,boardings,alightings
200,Allentown Rd at Perrie Ln,278,290
913,Old Alexandria Ferry Rd at Heflin Dr,320,290
571,Edgeworth Dr at Ritchie Rd,162,289
1192,Sheriff Rd at Willowood Ct,203,288
645,Greenway Center (PM Northbound),210,287
1316,Upshur St at 30th St,188,286
1143,Riverdale Rd at Tanglewood Dr,362,284
352,Brightseat Rd at Glen Valley Dr,461,284
1352,Woodyard Rd at Canberra Dr,545,283
797,Largo Rd at Opp. Town Farm Rd,44,283
207,Allentown Way at Allentown Rd,116,282
1053,Queen Chapel Rd at Queensbury Rd,10,282
772,Landover Rd at 58th Pl,77,281
37,28th Pkwy at Fairlawn St,106,281
864,Matapeake Business Dr at Target Store,2000,280
1079,Rhode Island Ave at 37th St,485,280
794,Largo Rd at Kirkland Ln,3,280
449,Central Ave at Norair Ave,158,279
349,Brightseat Rd at Continental Pl,134,278
1150,Rollins Ave at Hanlon Street,242,277
221,Apollo Dr at Mercantile Ln,208,273
316,Bock Rd at Wolf St,700,272
1227,Southway at 11 Court,87,272
38,28th Pl at Russell Ave,286,271
1132,Riverdale Rd at 63rd Ave,91,270
263,Baltimore Ave at Erie St,214,270
1335,Walker Mill Rd at Brooksquare Dr,142,268
1112,Ritchie Rd at Ritchie-Marlboro Rd,227,268
739,John Rogers Blvd at Old Marlboro Pike,100,268
802,Largo Rd at West Kettering Dr,11,267
1252,Stuart Ln at Surrats Rd,32,267
841,Mandan Rd at 7648 Mandan Rd,158,267
914,Old Alexandria Ferry Rd at Highland Meadows Dr,62,266
528,Crescent Rd at Parkway,66,265
1292,Temple Hill Rd at Old Temple Hill Rd,487,264
286,Baltimore Ave at Van Buren St,196,264
1334,Walker Mill Drive at Shady Glen Drive,373,264
956,Old Silver Hill Rd at Parkland Ct (E),182,263
212,Annapolis Rd at 53rd St,161,263
459,Centre Pointe Office Park,154,263
376,Brinkley Rd at John Hanson Ln,76,262
657,Hamilton St at 3900,590,262
1291,Temple Hill Rd at Megan Dr,348,262
1306,Toldeo Rd at Belcrest Rd,67,260
305,Bladensburg Rd at 41st Ave,414,260
670,Hanover Pkwy at Megan Ln,241,259
