,stop,boardings
991,Oxon Hill Rd at 6201 Oxon Hill Plaza,286
178,Ager Rd at 23rd Ave,285
917,Old Alexandria Ferry Rd at Mike Shapiro Dr,282
788,Largo Rd at Drumsheugh Ln,281
1295,Temple Hill Rd at Piscataway Rd,279
1253,Stuart Ln at Topaz Court,279
278,Baltimore Ave at Regents Dr,278
414,Campus Way S at PGCC Entrance,278
200,Allentown Rd at Perrie Ln,278
1176,Sheriff Rd at Belle Haven Dr,277
1338,Walker Mill Rd at Tanow Pl,277
984,Owens Rd at Woodland Blvd,276
542,District Heights Municipal Bldg,275
127,9400 Peppercorn Pl,275
1315,Upshur St at 28th St,274
1329,Volta Ave at 39th Pl,272
194,Allentown Rd at Dodge Ln,271
822,MLK Jr Hwy at 69th Pl,271
1098,Ritchie Rd at Alberta Dr,271
679,Harry S Truman Dr at Mt Lubentia Way,269
281,Baltimore Ave at Sheridan St,269
771,Landover Rd at 58th Ave,267
1026,PGCC Perimeter Rd at R.I. Bickford Building,267
1038,Peppermill Dr at Pepper St,266
664,Hanover Pkwy at Greenbelt Rd,266
1330,Volta Ave at Rhode Island Ave,266
682,Harry S. Truman Dr at Lottsford,265
687,Highmount Ln at Brooke Rd,264
393,Brinkley Rd at Trude St,264
463,Cherrywood Ln at Greenbelt Federal Courthouse,263
107,60th Ave at Seminole St,262
1217,Southern Ave at Robert Yedell Tower,262
104,58th Ave at Berwyn Rd,261
35,28th Pkwy at Curtis Dr,261
1190,Sheriff Rd at Village Green Dr,261
336,Brandywine Road at Surrats Road,260
604,Garrett A. Morgan Blvd at Rear Morgan Blvd Station Walkway,259
647,Gwendolyn Britt Center,259
1149,Rollins Ave at District Ave,259
566,East-West Hwy at Prince George's Mall Ent.,258
668,Hanover Pkwy at Hunting Ridge Club Apts,257
1056,Queens Chapel Rd at Nicholson St,255
660,Hampton Park Boulevard at Edgeworth Dr,254
517,County Rd at Belwood St,254
58,38th St at Perry St,254
211,Annapolis Rd at 53rd Pl,253
525,Crescent Rd at 58 Court,252
303,Bladensburg Rd at 40th Ave,252
291,Belcrest Rd at PG Plaza Entrance,251
189,Allentown Rd at Allentown Way,251
564,East Swan Creek at Olde Fort Village Shopping Center,251
1282,Temple Hill Rd at Cardwell Dr,250
651,Hamilton St at 31st Ave - in,250
1144,Riverdale Rd at Taylor Rd,250
514,Council Dr at Kipling Pkwy,250
659,Hampton Park Boulevard at East Hampton Dr,249
730,Jericho Residences,248
351,Brightseat Rd at Girard St,247
918,Old Alexandria Ferry Rd at Opp. Alexandria Bussiness Park,246
1150,Rollins Ave at Hanlon Street,242
213,Annapolis Rd at 54th Pl,242
1109,Ritchie Rd at Putnam Ln,242
807,Lords Landing Rd at Brown Station Rd,241
1281,Temple Hill Rd at Badger Ave,241
432,Capitol Heights Blvd at Heath St,241
670,Hanover Pkwy at Megan Ln,241
883,Metro Dr at Gate 7 Security Booth,239
912,Old Alexandria Ferry Rd at Bellefonte Ln,238
1204,Southern Ave at 6th St SE,237
1061,Queensbury Rd at 41st Ave,236
786,Largo Rd at Buck Ln,234
880,Merchantile Ln at Technology Way,234
589,Fisher Rd at Heather Hill Ent.,234
443,Central Ave at Cabin Branch Rd,232
1018,PALMER ROAD & POTOMAC HEIGHTS DRIVE,231
1206,Southern Ave at B St SE,230
177,Ager Rd and Oglethorpe St,230
215,Annapolis Rd at 85th Ave,230
895,Nalley Rd at Michele Ct,229
310,Bock Rd at Belfast Drive,229
845,Mandan Rd at Mandan Rd Ct,229
849,Marlboro Pike at Glacier Ave,227
1112,Ritchie Rd at Ritchie-Marlboro Rd,227
793,Largo Rd at Kettering Dr,225
825,MLK Jr Hwy at Cabin Branch Dr,224
1170,Saint Barnabas Rd at Barrowfield Rd,223
274,Baltimore Ave at Metzerott Rd,222
416,Campus Way S at Treetop Condo,221
1226,Southway at 10 Court,221
9,1400 Merchantile Ln,221
983,Owens Rd at Wheeler Rd,219
203,Allentown Rd at Waldran Ave,219
264,Baltimore Ave at Guilford Rd,219
251,Auth Rd at Henderson Way,219
371,Brinkley Rd at George Washington Dr,218
641,Greenhill Rd at Orange Ct,218
678,Harry S Truman Dr at Campus Way S,218
1189,Sheriff Rd at Opp. William Paca School,218
823,MLK Jr Hwy at Addison Rd,218
799,Largo Rd at Town Farm Rd,217
1052,Quebec St at 58th Ave,216
619,Good Luck Rd at Terra Alta Dr,216
1243,St Barnabas Rd at Lime St,215
234,Arundel Rd at 29th St,215
170,Addison Rd at James Farmer Way,215
263,Baltimore Ave at Erie St,214
586,Fisher Rd at Damian Dr,213
340,Brightseat Rd at 901 Brightseat Rd,212
