,hour,route,boardings,alightings
311,14,Route 18,2304,2931
325,14,Route 34,3126,2918
137,8,Route 33,2873,2894
312,14,Route 20,2844,2886
277,13,Route 16,2735,2869
188,10,Route 20,2760,2864
246,12,Route 16,2749,2864
353,15,Route 30,2805,2858
322,14,Route 30,2915,2856
76,6,Route 34,2777,2812
187,10,Route 18,1979,2804
280,13,Route 20,2882,2779
251,12,Route 21 Express,2438,2774
297,13,Route 51,2706,2774
87,7,Route 12,2879,2767
329,14,Route 51,2754,2766
254,12,Route 24,2928,2692
118,8,Route 12,2627,2664
373,16,Route 17 (Route 1 Ride),2612,2651
135,8,Route 30,2571,2640
403,17,Route 15 Express,2243,2639
166,9,Route 30,2388,2629
98,7,Route 23,2887,2629
307,14,Route 14,2053,2628
452,18,Route 35,2319,2623
387,16,Route 33,3539,2588
345,15,Route 21 Express,2467,2568
281,13,Route 21,2416,2563
368,16,Route 12,2426,2524
417,17,Route 30,2604,2516
168,9,Route 33,1941,2510
127,8,Route 21 Express,3098,2503
108,7,Route 35,2908,2500
282,13,Route 21 Express,2741,2485
400,17,Route 12,2432,2470
450,18,Route 33,2999,2464
341,15,Route 17 (Route 1 Ride),2603,2455
279,13,Route 18,2136,2411
293,13,Route 34,2452,2400
405,17,Route 17 (Route 1 Ride),2283,2374
377,16,Route 21 Express,2115,2361
382,16,Route 26,2417,2360
431,18,Route 12,2230,2330
198,10,Route 30,2055,2304
248,12,Route 18,2516,2291
324,14,Route 33,3132,2289
481,19,Route 33,1639,2277
56,6,Route 12,2294,2277
313,14,Route 21,2728,2246
448,18,Route 30,1849,2225
343,15,Route 20,2758,2223
247,12,Route 17 (Route 1 Ride),2192,2223
399,17,Route 11,2384,2221
169,9,Route 34,2174,2209
230,11,Route 33,1964,2205
319,14,Route 26,2043,2204
73,6,Route 30,2524,2188
275,13,Route 13,2081,2185
294,13,Route 35,1946,2177
482,19,Route 34,1852,2169
228,11,Route 30,2581,2150
75,6,Route 33,3679,2150
262,12,Route 34,2260,2144
92,7,Route 17 (Route 1 Ride),2153,2140
278,13,Route 17 (Route 1 Ride),2091,2138
123,8,Route 17 (Route 1 Ride),2223,2137
129,8,Route 23,1913,2133
117,8,Route 11,1995,2132
256,12,Route 26,2274,2124
414,17,Route 26,2094,2123
202,10,Route 35,2232,2110
250,12,Route 21,1889,2109
259,12,Route 30,2377,2108
96,7,Route 21 Express,1825,2107
430,18,Route 11,1838,2101
350,15,Route 26,2095,2097
101,7,Route 26,2247,2097
411,17,Route 23,2148,2088
290,13,Route 30,1814,2080
119,8,Route 13,2196,2076
231,11,Route 34,2127,2070
369,16,Route 13,2190,2058
216,11,Route 17 (Route 1 Ride),2051,2050
442,18,Route 23,2384,2032
201,10,Route 34,1996,2023
310,14,Route 17 (Route 1 Ride),2113,2023
163,9,Route 26,2165,2016
219,11,Route 21,2349,2011
149,9,Route 12,2003,1993
110,7,Route 37,2317,1976
128,8,Route 22,1861,1963
367,16,Route 11,2150,1957
292,13,Route 33,1673,1948
154,9,Route 17 (Route 1 Ride),1881,1937
102,7,Route 27,1741,1924
306,14,Route 13,2001,1914
371,16,Route 15 Express,2431,1906
454,18,Route 37,1681,1903
97,7,Route 22,1904,1903
245,12,Route 14,1653,1901
90,7,Route 15 Express,2065,1892
336,15,Route 12,2061,1871
66,6,Route 22,2096,1857
132,8,Route 26,1702,1836
337,15,Route 13,1791,1831
441,18,Route 22,1889,1829
361,15,Route 51,1794,1827
186,10,Route 17 (Route 1 Ride),1965,1827
445,18,Route 26,1671,1824
381,16,Route 25,1788,1816
287,13,Route 26,2021,1814
316,14,Route 23,1951,1798
436,18,Route 17 (Route 1 Ride),1648,1796
