,stop,boardings,alightings
1035,Peppermill Dr at Canyon Dr,731,457
110,7600 Riverdale Rd,723,292
18,23rd Ave at  Beechwood Rd,711,189
520,County Rd at Valley Brook Apts,709,699
1008,Oxon Hill Rd at Rivertown Commons(6135),708,615
548,District Heights Pkwy at Rochelle Ave,707,556
1304,Temple Hill Rd at Weldon Dr,702,494
316,Bock Rd at Wolf St,700,272
774,Landover Rd at Annapolis Rd,697,706
260,Baltimore Ave at Cherry Hill Road,697,1028
654,Hamilton St at 37th Ave,697,216
1265,Suitland Rd at Suitland Federal Center Gate 1,696,496
870,Maxwell Dr at Morris Ave,693,537
854,Marlboro Pike at Melwood Mall,689,566
846,Manor at Victoria Park,686,638
1198,Silver Hill Rd at Suitland Rd,685,560
993,Oxon Hill Rd at 6400 Clipper Way,683,11
293,Belcrest Rd at Queens Chapel Rd,683,535
585,Fisher Rd at Clow Ct,670,478
1236,Springhill Ln at Market Ln,666,309
320,Brandywine Rd & Gwynn Park High School,666,374
30,28th Ave at Keating St,666,626
506,Columbia Park Rd at South Club Dr,662,1210
543,District Heights Pkwy at Addison Rd S,661,556
1014,PALMER ROAD & DEVON HILLS DRIVE,658,524
757,Lamont Dr at Donoghue Dr,655,647
363,Brightseat Rd at Social Services Bldg.,652,349
565,East-West Hwy at Metro Center Dr,651,1066
978,Owens Rd at Kennebec St,650,641
22,23rd Ave at Drexel St,649,410
1174,Sargent Rd at Rollingcrest Commons,649,591
1331,WILSON BRIDGE DRIVE,646,598
1307,Toledo Rd at Adelphi Rd,645,723
337,Breezewood Dr at Cherrywood Ln,644,1290
613,Good Luck Rd at Dawnwood Dr,639,754
1308,Toledo Rd at Belcrest Rd,638,755
1120,Ritchie-Marlboro Rd & Sansbury Rd,635,702
1297,Temple Hill Rd at Portal Ave,634,860
749,Kipling Pkwy at Harwood Rd,628,581
480,Chillum Rd at 18th Ave - in,618,50
1317,Valley Trail Ln at Bain Dr 1,613,372
924,Old Branch Ave at Arbutus Ln,612,489
800,Largo Rd at Water Fowl Way,609,21
558,Dunmore Pl at Edgeworth Dr,608,1293
1016,PALMER ROAD & INDIAN HEAD HIGHWAY,607,374
15,15th Ave at University Blvd,607,1233
551,Dodge Park Rd at Landover Rd,603,587
1141,Riverdale Rd at Mahoney Dr,601,481
1197,Silver Hill Rd at Randall Rd,600,579
706,Hubbard Rd at Martin Luther King,598,617
1078,Rhode Island Ave at 34th Street,598,1003
53,38th St at Bunker Hill Rd,595,892
1296,Temple Hill Rd at Plata St,592,128
657,Hamilton St at 3900,590,262
184,Ager Rd at Oglethorpe St,588,484
1017,PALMER ROAD & OLD PALMER ROAD,587,406
