,stop,boardings,alightings
1011,Queensbury Rd at 44th Pl,149.0,257.0
476,Clairfield Lane - Arrival,21.0,255.0
512,Crescent Rd at Lastner Ln,128.0,252.0
303,Bladensburg Rd at 40th Ave,203.0,251.0
818,Manor at Victoria Park,263.0,250.0
863,Nalley Rd at Michele Ct,78.0,250.0
981,Peppermill Dr at Canyon Dr,324.0,250.0
614,Greenbrook Dr at Hanover Pkwy,223.0,250.0
630,Hamilton St at 35th Ave,398.0,249.0
930,Owens Rd at Kennebec St,318.0,249.0
46,3404 Dodge Park Rd,267.0,248.0
362,Brinkley Rd at Bushey Dr,54.0,246.0
826,Marlboro Pike at Melwood Mall,168.0,245.0
536,Donnell Dr at Marlboro Pike,708.0,245.0
940,Oxon Hill Rd at 6192 Oxon Hill Rd,127.0,244.0
952,Oxon Hill Rd at Rivertown Commons(6135),229.0,242.0
1281,Walker Mill Rd at Rochell Ave,299.0,242.0
1000,Queen Chapel Rd at Queensbury Rd,19.0,241.0
764,Largo Rd at Buck Ln,208.0,240.0
47,3417 Dodge Park Rd,187.0,240.0
48,34th St at Bunker Hill Rd,58.0,239.0
1021,Raleigh Rd at Olson St,310.0,239.0
1034,Rhode Island Ave at 42nd Pl,189.0,239.0
59,38th St at Shepherd St,224.0,238.0
748,Landover Rd at 56th Ave,351.0,237.0
831,Marlboro Pike at Upland Ave,285.0,236.0
917,Old Pike Way at Dower House Rd,292.0,233.0
223,Annapolis Rd at Riverdale Rd,624.0,233.0
76,4205  Suitland Rd,154.0,232.0
322,Brandywine Rd at Horshoe Rd,24.0,232.0
1159,Southern Ave at C St,212.0,231.0
882,Old Alexandria Ferry Rd at Bellefonte Ln,251.0,229.0
514,Crescent Rd at Ridge Rd,110.0,228.0
1204,Stuart at Surrats,73.0,227.0
812,Madison St at Timber Creek Dr,294.0,227.0
271,Baltimore Ave at Knox Rd,128.0,226.0
261,Baltimore Ave at Cherry Hill Road,176.0,226.0
1010,Queensbury Rd at 44th Ave,184.0,226.0
114,7602 Riverdale Rd,208.0,224.0
297,Beltway Plaza Shopping Center,23.0,223.0
823,Marlboro Pike at Kipling Pkwy,181.0,222.0
393,CAMPUS WAY NORTH AT LADY GROVE ROAD,234.0,221.0
